,artist_name,popularity,track_id,track_name,uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1255,David Forbes,16,0tr39Oddkf8IPkBQ3lcsEr,Silent Waves - Mixed,spotify:artist:3kwdB3aUfg0uneHczX2vTG,0.000225,0.473,251008,0.968,0.107,9,0.55,-7.541,0,0.0571,138.393,4,0.0597
1256,Miley Cyrus,73,37PJvlIfYWqEX6fgjHlnTf,WTF Do I Know,spotify:artist:5YGY8feqx7naU7z4HrwZM6,0.00255,0.564,171800,0.849,0.0,4,0.269,-2.619,0,0.248,157.905,4,0.634
1257,Craig Connelly,16,6AIG4pHFXUdl0GWOQtzxsj,Life Half Lived - Mixed,spotify:artist:78UUH1buA0gDtDnkX2dPgL,0.00125,0.441,317742,0.983,0.694,0,0.122,-8.272,1,0.056,138.952,4,0.126
1258,Justin Quiles,87,3GtnId3Cm1Xa6joCj08nzW,Jeans,spotify:artist:14zUHaJZo1mnYtn6IBRaRP,0.0165,0.807,185840,0.656,0.0,3,0.0693,-4.395,0,0.105,83.943,4,0.89
1259,Mike Sanders,17,2G3xRSATaMwOcOqmrphRCu,Winden - Mixed,spotify:artist:1SEyZMsDKFTCmabsCrsPsG,0.000735,0.469,304553,0.987,0.966,4,0.75,-8.305,0,0.082,137.898,4,0.154
1260,Lil Uzi Vert,69,2ajzBr7vwHTEBeqDzcsNRC,That Way - Bonus Track,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,0.0546,0.712,212354,0.598,0.0,7,0.154,-5.368,0,0.0388,130.007,4,0.504
1261,Om Zone,14,46B0nZzZOZPku3sGyYS0Vh,Ohm Meditation,spotify:artist:4ru2P4zXfMP4uGqhMk1diM,0.967,0.188,283999,0.139,0.9,5,0.0954,-25.291,0,0.0366,63.402,4,0.0388
1262,CORPSE,71,5cCpq6EJqI8dgz8FwE7gk3,Cabin Fever,spotify:artist:7yntSJ6uojO3z6GFUVwhAW,0.0129,0.726,86667,0.732,0.000174,8,0.681,-5.596,1,0.189,144.065,4,0.127
1263,Josef Strauss,26,32bAR5FU86uAHywmllMu8w,"Liebesgrüße, Walzer, Op. 56",spotify:artist:0qU8UdzIf1I2ZxyI5OHdut,0.948,0.268,478040,0.148,0.904,0,0.117,-18.326,1,0.0435,180.903,3,0.219
1264,The Kid LAROI,70,57tln4G33fhp8mrFbeM3IJ,SELFISH,spotify:artist:2tIP7SsRs7vjIcLrU85W8J,0.166,0.373,196202,0.539,0.0,1,0.139,-4.865,1,0.086,77.006,1,0.075
1265,Genix,14,0l9Pz0z9muz6B4ywZQi1Yp,Giant Steps - Mixed,spotify:artist:5WWUkLXiAbmGwtELcfvB2w,0.000123,0.559,240000,0.927,0.779,5,0.352,-7.046,1,0.0308,128.002,4,0.104
1266,Lil Baby,68,3tDqEKKUs6gf8zMvSuLyLA,Commercial (feat. Lil Uzi Vert),spotify:artist:5f7VJjfbwm532GiveGC0ZK,0.048,0.892,214215,0.486,0.0,11,0.146,-8.637,0,0.384,120.998,4,0.535
1267,Josef Strauss,26,4uj5mMw0DkrSEJrVcwC9OQ,"Liechtenstein-Marsch, Op. 36",spotify:artist:0qU8UdzIf1I2ZxyI5OHdut,0.854,0.479,183707,0.5,0.886,10,0.177,-14.868,1,0.0424,111.534,4,0.67
1268,Tyla Yaweh,72,5DPASDOoVakOcD8EIhb46T,High Right Now (feat. Wiz Khalifa) - Remix,spotify:artist:1MXZ0hsGic96dWRDKwAwdr,0.0127,0.737,175759,0.548,9.76e-06,4,0.176,-7.003,0,0.0498,160.058,4,0.156
1269,Black Eyed Peas,18,4GEWfbvGYNRLj31pQF46Md,I Gotta Feeling,spotify:artist:1yxSLGMDHlW21z4YXirZDS,0.0791,0.744,290707,0.597,0.0,0,0.0931,-11.513,1,0.0299,127.958,4,0.706
1270,Kid Cudi,69,3Uw2se3aQU1UFrpRBvBnB4,Sept. 16,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,0.764,0.646,249040,0.645,0.114,4,0.137,-7.214,0,0.0338,140.987,4,0.473
1271,Shawn Mendes,19,6Xg5Fb4zeX8PYNu616N00s,There's Nothing Holdin' Me Back,spotify:artist:7n2wHs1TKAczGzO7Dd2rGr,0.262,0.859,200029,0.773,0.0,11,0.0775,-5.008,0,0.0551,121.977,4,0.968
1272,Grum,13,0hydmvDX5mE8tfILXu8ZZK,The Light - Mixed,spotify:artist:3VEqFWRt47xQAZJMBF3duQ,0.000258,0.538,270000,0.916,0.54,11,0.0797,-7.217,0,0.0376,127.987,4,0.057
1273,Wilbur,70,0F3kMN9OPXr0b5metJq2M1,Jubilee Line,spotify:artist:6gKzPziGLKXdUaEEIm86Mn,0.967,0.412,186309,0.254,0.00408,2,0.105,-14.713,1,0.0481,149.899,4,0.217
1274,Duke Dumont,19,7mFd3UBejugc6RLQLGWD4n,I Got U,spotify:artist:61lyPtntblHJvA7FMMhi7E,0.00403,0.661,286293,0.761,0.00479,0,0.0812,-7.769,1,0.0373,120.829,4,0.483
1275,Avenue Beat,70,7opTGnWVJcm1e5mWWOldpg,F2020,spotify:artist:1htYtUdXVMwR6HCSs821Lc,0.587,0.702,181852,0.597,3.62e-06,2,0.112,-7.067,1,0.207,85.016,4,0.383
